Rank,Name,Symbol,marketcap,price (USD),country
1149,Quest Diagnostics,DGX,19920228352,178.14,United States
1152,Rogers Communication,RCI,19873032192,36.57,Canada
1155,Tyson Foods,TSN,19841796096,56.2,United States
1160,RB Global,RBA,19758376960,106.13,Canada
1162,NVR,NVR,19746385920,7146.45,United States
1163,J. B. Hunt,JBHT,19729629184,203.82,United States
1164,HP,HPQ,19712862208,21.09,United States
1167,C. H. Robinson,CHRW,19697010688,166.73,United States
1168,NiSource,NI,19658080256,41.54,United States
1174,Burlington Stores,BURL,19494787072,309.8,United States
1179,Texas Pacific Land Corporation,TPL,19398531072,281.39,United States
1180,Tyler Technologies,TYL,19391242240,448.23,United States
1182,Woodward,WWD,19354363904,322.59,United States
1184,SBA Communications,SBAC,19332659200,181.42,United States
1187,Coterra Energy,CTRA,19299811328,25.29,United States
1188,Exact Sciences,EXAS,19285899264,101.63,United States
1192,Lundin Mining,LUN.TO,19204500934,22.4412,Canada
1194,Trimble,TRMB,19080361984,80.18,United States
1197,Albemarle,ALB,19016392704,161.57,United States
1201,Dick's Sporting Goods,DKS,18900668416,210.08,United States
1202,The Trade Desk,TTD,18897643520,38.65,United States
1207,Global Payments,GPN,18802051072,77.5,United States
1211,Somnigroup International,SGI,18688079872,89.03,United States
1213,Packaging Corporation of America,PKG,18608513024,206.81,United States
1215,Gartner,IT,18606012416,245.67,United States
1216,MasTec,MTZ,18602549248,235.75,United States
1222,Snap-on,SNA,18391760896,352.58,United States
1224,Zimmer Biomet,ZBH,18365485056,92.67,United States
1226,Fortive,FTV,18317529088,54.14,United States
1239,Dupont De Nemours,DD,18112303104,43.23,United States
1246,Supermicro,SMCI,17915103232,30.01,United States
1247,Bunge Global SA,BG,17903298560,92.59,United States
1249,Tenet Healthcare,THC,17846902784,202.0,United States
1252,Lennox,LII,17736708096,504.97,United States
1261,BWX Technologies,BWXT,17575878656,192.24,United States
1263,McCormick & Company,MKC,17543718912,65.37,United States
1271,Essex Property Trust,ESS,17340329984,251.06,United States
1275,Alamos Gold,AGI,17271980032,41.14,Canada
1276,Medpace,MEDP,17269657600,613.09,United States
1278,International Flavors & Fragrances,IFF,17248120832,67.3,United States
1292,Genuine Parts Company,GPC,17049381888,122.56,United States
1297,CDW Corporation,CDW,16977607680,129.54,United States
1300,Carpenter Technology,CRS,16962991104,340.28,United States
1301,US Foods,USFD,16959926272,75.32,United States
1302,Bombardier,BBD-B.TO,16958288249,170.78,Canada
1304,XPO Logistics,XPO,16945963008,143.9,United States
1320,News Corp,NWS,16794474496,30.15,United States
1324,Weyerhaeuser,WY,16724624384,23.18,United States
1325,Hologic,HOLX,16720994304,74.96,United States
1327,Jones Lang LaSalle,JLL,16712307712,352.72,United States
1330,Evergy,EVRG,16692828160,72.51,United States
1331,Cooper Companies,COO,16680069120,83.9,United States
1332,TKO Group Holdings,TKO,16666396672,202.91,United States
1334,Allegheny Technologies,ATI,16655633408,120.84,United States
1339,Alliant Energy,LNT,16605668352,64.6,United States
1340,Zillow,Z,16500590592,68.17,United States
1343,Ivanhoe Mines,IVN.TO,16476887314,11.6065,Canada
1346,Tourmaline Oil,TOU.TO,16429160872,42.4514,Canada
1352,TransUnion,TRU,16265799680,83.5,United States
1353,GoDaddy,GDDY,16264991744,117.48,United States
1355,Alcoa,AA,16247403520,62.74,United States
1356,Jacobs Engineering,J,16244885504,136.8,United States
1358,Mid-America Apartment Communities,MAA,16201837568,134.98,United States
1361,Western Midstream,WES,16164789248,39.62,United States
1364,Gen Digital,GEN,16102457344,26.11,United States
1366,East West Bancorp,EWBC,16053479424,116.48,United States
1375,Guidewire Software,GWRE,15956398080,187.68,United States
1377,Magna International,MGA,15917639680,56.27,Canada
1379,AeroVironment,AVAV,15902409728,318.48,United States
1386,Sun Communities,SUI,15793382400,122.76,United States
1387,Hyatt Hotels,H,15791308800,165.38,United States
1388,Textron,TXT,15785425920,88.58,United States
1389,Reliance,RS,15781744640,300.07,United States
1392,"QXO, Inc.",QXO,15770912768,23.38,United States
1393,Annaly Capital Management,NLY,15737039872,23.04,United States
1409,F5,FFIV,15563370496,267.92,United States
1415,Kratos Defense &amp; Security Solutions,KTOS,15438794752,91.44,United States
1425,ITT,ITT,15306518528,177.9,United States
1426,Metro,MRU.TO,15294809136,70.31,Canada
1430,Deckers Brands,DECK,15285300224,103.04,United States
1443,Fidelity National Financial,FNF,15143303168,55.81,United States
1463,Entegris,ENTG,14834059264,97.85,United States
1466,Power Financial,PWF-PS.TO,14819013170,16.1222,Canada
1468,RBC Bearings,RBC,14774239232,467.37,United States
1470,Erie Indemnity,ERIE,14740513792,281.9,United States
1471,Emera,EMA.TO,14729326282,48.8137,Canada
1482,Ball Corporation,BALL,14568130560,53.53,United States
1485,W. P. Carey,WPC,14531506176,66.31,United States
1491,Best Buy,BBY,14461270016,68.83,United States
1493,LyondellBasell,LYB,14455314432,44.91,United States
1495,Ares Capital,ARCC,14443363328,20.18,United States
1497,Evercore,EVR,14428870656,373.05,United States
1498,Nutanix,NTNX,14401500160,53.26,United States
1499,Viatris,VTRS,14384661504,12.46,United States
1500,Pinnacle Financial Partners,PNFP,14382732288,95.71,United States
1503,Ally Financial,ALLY,14339875840,46.55,United States
1504,Wayfair,W,14335885312,109.99,United States
1506,Hecla Mining,HL,14320009216,21.37,United States
1516,Watsco,WSO,14205924352,349.3,United States
1523,Nordson,NDSN,14115533824,252.86,United States
1527,Neurocrine Biosciences,NBIX,14020614144,140.62,United States
1529,Huntington Ingalls Industries,HII,13987608576,356.45,United States
1532,Carlisle Companies,CSL,13964100608,326.64,United States
1533,Avery Dennison,AVY,13954137088,180.53,United States
1541,UDR Apartments,UDR,13862327296,36.82,United States
1551,Graco,GGG,13784122368,83.14,United States
1553,Domino's Pizza,DPZ,13766287360,405.5,United States
1554,Kimco Realty,KIM,13753832448,20.31,United States
1560,Omega Healthcare Investors,OHI,13710778368,45.14,United States
1565,Paramount Skydance,PSKY,13646177280,12.37,United States
1567,Pershing Square Holdings,PSHZF,13603843072,63.078,United States
1569,IDEX,IEX,13588602880,180.49,United States
1574,Lincoln Electric,LECO,13550984192,245.55,United States
1577,Jack Henry &amp; Associates,JKHY,13513547776,185.97,United States
1581,Ionis Pharmaceuticals,IONS,13471410176,83.17,United States
1583,Performance Food Group,PFGC,13462322176,85.85,United States
1584,Masco,MAS,13462082560,64.3,United States
1585,RPM International,RPM,13447606272,104.82,United States
1593,Unum,UNM,13354262528,78.41,United States
1594,Stifel,SF,13348955136,130.65,United States
1596,Jefferies Financial Group,JEF,13340145664,64.67,United States
1601,Reinsurance Group of America,RGA,13287487488,201.04,United States
1608,Universal Health Services,UHS,13261667328,208.39,United States
1611,Celsius Holdings,CELH,13234697216,51.34,United States
1612,Mueller Industries,MLI,13219503104,119.08,United States
1622,Franklin Resources,BEN,13112975360,25.15,United States
1623,AMH (American Homes 4 Rent),AMH,13101194240,31.01,United States
1629,AECOM,ACM,13049914368,98.53,United States
1630,Clean Harbors,CLH,13043449856,243.2,United States
1631,Amkor Technology,AMKR,13032038400,52.72,United States
1634,Toll Brothers,TOL,12992429056,134.8,United States
1644,Lamar Advertising,LAMR,12882258944,127.19,United States
1645,Regency Centers,REG,12877993984,69.99,United States
1646,Houlihan Lokey,HLI,12877559808,183.15,United States
